,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,expensive_nbh
2229,80.0,100.0,1,2,Entire home/apt,0,1.0,1,100.0,2,14,1,0
2230,75.0,0.0,2,2,Private room,1,1.0,1,150.0,1,1125,1,0
2231,90.0,67.0,4,1,Private room,1,1.5,1,89.0,1,1125,35,0
2232,97.0,100.0,8,4,Entire home/apt,1,1.0,2,115.0,4,1125,6,0
2233,100.0,94.0,1,3,Entire home/apt,1,1.0,1,165.0,1,1125,21,0
2234,100.0,100.0,1,3,Entire home/apt,1,1.0,1,108.0,1,1125,4,0
2235,66.0,96.0,5,2,Entire home/apt,1,1.0,1,165.0,3,1125,3,0
2236,100.0,0.0,2,1,Shared room,1,1.0,1,45.0,1,1125,8,0
2237,100.0,85.0,4,4,Entire home/apt,1,1.0,2,119.0,1,1125,0,0
2238,95.0,95.0,1,4,Entire home/apt,1,1.0,2,85.0,1,1125,0,0
2239,67.0,89.4,1,3,Entire home/apt,0,1.0,2,93.0,6,1125,3,0
2240,96.0,95.8,1,4,Entire home/apt,0,1.0,2,108.0,2,7,30,0
2241,100.0,99.0,3,4,Entire home/apt,0,1.0,2,126.0,1,1125,26,0
2242,95.0,78.6,1,2,Private room,1,1.0,1,75.0,1,1125,0,0
2243,100.0,100.0,1,2,Entire home/apt,0,1.0,1,100.0,2,1125,9,0
2244,100.0,96.0,1,2,Entire home/apt,0,1.0,1,82.0,1,1125,2,0
2245,85.0,50.0,1,2,Private room,1,1.0,1,100.0,1,7,5,0
2246,100.0,50.0,1,2,Entire home/apt,1,1.0,1,110.0,3,30,1,0
2247,100.0,100.0,1,5,Entire home/apt,1,1.0,2,149.0,1,1125,3,0
2248,80.0,91.0,1,2,Private room,1,1.0,1,125.0,1,1125,0,0
2249,100.0,92.0,1,3,Entire home/apt,1,1.0,2,105.0,1,1125,15,0
2250,97.0,57.0,4,4,Entire home/apt,0,1.0,1,91.0,1,1125,0,0
